source_index,pair_index,fold,noise_condition,preprocess_config,target_label,predicted_label,decision_score,target_provenance,baseline_decision_score,score_delta,absolute_score_delta
138363,2,0,clean,none,1,0,-0.7331938409077404,positive_audit_confirmed,-0.7331938409077404,0.0,0.0
201136,0,0,clean,none,1,0,-0.8715108725527422,positive_audit_confirmed,-0.8715108725527422,0.0,0.0
242108,0,0,clean,none,1,0,-0.8835609137871491,positive_audit_confirmed,-0.8835609137871491,0.0,0.0
453673,0,0,clean,none,1,0,-0.9225436341463731,positive_audit_confirmed,-0.9225436341463731,0.0,0.0
481569,0,0,clean,none,1,0,-0.8142669484152394,positive_audit_confirmed,-0.8142669484152394,0.0,0.0
788930,0,0,clean,none,1,0,-0.9931336904676423,positive_audit_confirmed,-0.9931336904676423,0.0,0.0
138363,2,0,clean,minimal,1,0,-0.7331938409077404,positive_audit_confirmed,-0.7331938409077404,0.0,0.0
201136,0,0,clean,minimal,1,0,-0.8715108725527422,positive_audit_confirmed,-0.8715108725527422,0.0,0.0
242108,0,0,clean,minimal,1,0,-0.8835609137871491,positive_audit_confirmed,-0.8835609137871491,0.0,0.0
453673,0,0,clean,minimal,1,0,-0.9225436341463731,positive_audit_confirmed,-0.9225436341463731,0.0,0.0
481569,0,0,clean,minimal,1,0,-0.8142669484152394,positive_audit_confirmed,-0.8142669484152394,0.0,0.0
788930,0,0,clean,minimal,1,0,-0.9931336904676423,positive_audit_confirmed,-0.9931336904676423,0.0,0.0
138363,2,0,clean,noise_aware,1,0,-0.7331938409077404,positive_audit_confirmed,-0.7331938409077404,0.0,0.0
201136,0,0,clean,noise_aware,1,0,-0.8715108725527422,positive_audit_confirmed,-0.8715108725527422,0.0,0.0
242108,0,0,clean,noise_aware,1,0,-0.8835609137871491,positive_audit_confirmed,-0.8835609137871491,0.0,0.0
453673,0,0,clean,noise_aware,1,0,-0.9225436341463731,positive_audit_confirmed,-0.9225436341463731,0.0,0.0
481569,0,0,clean,noise_aware,1,0,-0.8142669484152394,positive_audit_confirmed,-0.8142669484152394,0.0,0.0
788930,0,0,clean,noise_aware,1,0,-0.9931336904676423,positive_audit_confirmed,-0.9931336904676423,0.0,0.0
138363,2,0,clean,aggressive,1,0,-0.9818950333253045,positive_audit_confirmed,-0.7331938409077404,-0.24870119241756405,0.24870119241756405
201136,0,0,clean,aggressive,1,0,-1.0011098836787582,positive_audit_confirmed,-0.8715108725527422,-0.12959901112601602,0.12959901112601602
242108,0,0,clean,aggressive,1,0,-1.0129957504918146,positive_audit_confirmed,-0.8835609137871491,-0.1294348367046655,0.1294348367046655
453673,0,0,clean,aggressive,1,0,-1.0073091366842442,positive_audit_confirmed,-0.9225436341463731,-0.08476550253787107,0.08476550253787107
481569,0,0,clean,aggressive,1,0,-0.97343986580301,positive_audit_confirmed,-0.8142669484152394,-0.15917291738777062,0.15917291738777062
788930,0,0,clean,aggressive,1,0,-1.1329036166356934,positive_audit_confirmed,-0.9931336904676423,-0.13976992616805106,0.13976992616805106
138363,2,0,casing,none,1,0,-0.7331938409077404,positive_audit_confirmed,-0.7331938409077404,0.0,0.0
201136,0,0,casing,none,1,0,-0.8715108725527422,positive_audit_confirmed,-0.8715108725527422,0.0,0.0
242108,0,0,casing,none,1,0,-0.8835609137871491,positive_audit_confirmed,-0.8835609137871491,0.0,0.0
453673,0,0,casing,none,1,0,-0.9225436341463731,positive_audit_confirmed,-0.9225436341463731,0.0,0.0
481569,0,0,casing,none,1,0,-0.8142669484152394,positive_audit_confirmed,-0.8142669484152394,0.0,0.0
788930,0,0,casing,none,1,0,-0.9931336904676423,positive_audit_confirmed,-0.9931336904676423,0.0,0.0
138363,2,0,casing,minimal,1,0,-0.7331938409077404,positive_audit_confirmed,-0.7331938409077404,0.0,0.0
201136,0,0,casing,minimal,1,0,-0.8715108725527422,positive_audit_confirmed,-0.8715108725527422,0.0,0.0
242108,0,0,casing,minimal,1,0,-0.8835609137871491,positive_audit_confirmed,-0.8835609137871491,0.0,0.0
453673,0,0,casing,minimal,1,0,-0.9225436341463731,positive_audit_confirmed,-0.9225436341463731,0.0,0.0
481569,0,0,casing,minimal,1,0,-0.8142669484152394,positive_audit_confirmed,-0.8142669484152394,0.0,0.0
788930,0,0,casing,minimal,1,0,-0.9931336904676423,positive_audit_confirmed,-0.9931336904676423,0.0,0.0
138363,2,0,casing,noise_aware,1,0,-0.7331938409077404,positive_audit_confirmed,-0.7331938409077404,0.0,0.0
201136,0,0,casing,noise_aware,1,0,-0.8715108725527422,positive_audit_confirmed,-0.8715108725527422,0.0,0.0
242108,0,0,casing,noise_aware,1,0,-0.8835609137871491,positive_audit_confirmed,-0.8835609137871491,0.0,0.0
453673,0,0,casing,noise_aware,1,0,-0.9225436341463731,positive_audit_confirmed,-0.9225436341463731,0.0,0.0
481569,0,0,casing,noise_aware,1,0,-0.8142669484152394,positive_audit_confirmed,-0.8142669484152394,0.0,0.0
788930,0,0,casing,noise_aware,1,0,-0.9931336904676423,positive_audit_confirmed,-0.9931336904676423,0.0,0.0
138363,2,0,casing,aggressive,1,0,-0.9818950333253045,positive_audit_confirmed,-0.7331938409077404,-0.24870119241756405,0.24870119241756405
201136,0,0,casing,aggressive,1,0,-1.0011098836787582,positive_audit_confirmed,-0.8715108725527422,-0.12959901112601602,0.12959901112601602
242108,0,0,casing,aggressive,1,0,-1.0129957504918146,positive_audit_confirmed,-0.8835609137871491,-0.1294348367046655,0.1294348367046655
453673,0,0,casing,aggressive,1,0,-1.0073091366842442,positive_audit_confirmed,-0.9225436341463731,-0.08476550253787107,0.08476550253787107
