audit_number,source_index,pair_index,weak_labels,manual_audit_valid
1,31276,0,directive_advice,1
2,43333,0,directive_advice,0
3,43461,4,directive_advice,1
4,58105,0,directive_advice,1
5,79032,0,directive_advice,1
6,126987,0,directive_advice,0
7,135823,0,directive_advice,1
8,138363,2,directive_advice,1
9,180085,0,directive_advice,0
10,201136,0,directive_advice,1
11,242108,0,directive_advice,1
12,262652,0,directive_advice,0
13,313317,0,directive_advice,0
14,331513,0,directive_advice,0
15,339610,0,directive_advice,0
16,349383,0,directive_advice,0
17,404737,7,directive_advice,0
18,409772,1,directive_advice,0
19,414770,1,directive_advice,0
20,421448,2,directive_advice,0
21,426858,10,directive_advice,0
22,442188,0,directive_advice,0
23,453673,0,directive_advice,1
24,462277,0,directive_advice,0
25,476003,122,directive_advice,0
26,481569,0,directive_advice,1
27,562857,0,directive_advice,0
28,624623,0,directive_advice,0
29,631168,1,directive_advice,0
30,665360,0,directive_advice,1
31,168691,0,overconfident_judgement,0
32,180675,0,overconfident_judgement,0
33,267733,0,overconfident_judgement,1
34,482748,0,overconfident_judgement,0
