source_index,pair_index,target,fold
130,1,False,1
303,2,False,0
817,0,False,1
1220,0,False,2
2331,1,False,0
6278,1,False,0
6366,0,False,1
10906,0,False,2
11787,1,False,0
13420,0,False,1
15086,0,False,2
15087,7,False,1
19655,2,False,2
20959,0,False,1
21811,0,False,0
24791,7,False,0
28456,0,False,0
29926,7,False,0
30245,1,False,1
31276,0,True,0
31733,4,False,2
32428,0,False,0
33385,0,False,2
33499,22,False,2
34856,0,False,0
35059,10,False,1
36762,0,False,0
37872,2,False,2
42475,0,False,2
42850,0,False,0
43461,4,True,2
43603,0,False,2
44724,0,False,0
47679,2,False,2
51262,3,False,0
55266,0,False,1
57983,2,False,1
58105,0,True,1
58797,0,False,0
62209,0,False,1
62267,0,False,1
63755,0,False,0
64980,0,False,2
65117,0,False,0
65226,0,False,0
66938,9,False,2
67117,0,False,0
67474,0,False,1
68340,0,False,0
74163,0,False,0
77329,1,False,0
79032,0,True,2
79640,5,False,0
79927,1,False,1
80390,0,False,0
81778,9,False,2
82569,1,False,0
82905,0,False,2
84949,0,False,1
85331,1,False,2
90482,1,False,1
90723,0,False,2
91544,0,False,1
91587,0,False,1
93984,3,False,1
94470,1,False,2
94803,0,False,1
98490,4,False,2
98754,0,False,1
102221,0,False,2
105783,1,False,2
108373,0,False,1
108526,0,False,1
111085,0,False,1
111327,35,False,2
111451,1,False,1
112702,3,False,1
116373,0,False,2
118696,2,False,1
120067,0,False,2
120579,0,False,2
122184,3,False,1
125974,9,False,0
127009,0,False,0
131049,0,False,1
133121,3,False,0
134852,0,False,0
135441,0,False,0
135475,0,False,2
135610,3,False,2
135823,0,True,1
137852,0,False,2
138363,2,True,0
139372,0,False,2
140552,0,False,0
145177,8,False,1
145940,7,False,2
147422,0,False,0
148171,0,False,2
149592,0,False,1
